Coin,Price,Change_1h,Change_24h,Chnage_7days,Volume_24h,Market_cap
Earthcoin,$0.000717037405,-0.8%,0.5%,7.6%,n/a,"$9,218,893"
Wonderland,$10.34,-0.6%,-1.3%,-10.1%,n/a,"$9,168,056"
Shiryo,$0.000000000010,6.8%,-2.4%,-18.7%,n/a,"$9,128,918"
Banano,$0.006620566086,-0.3%,-0.1%,-9.9%,n/a,"$9,117,179"
MBD Financials,$0.000595864882,1.1%,-1.4%,-40.7%,n/a,"$9,068,893"
DEUS Finance,$74.78,-1.6%,78.2%,114.6%,n/a,"$9,064,127"
Retreeb,$0.020120630771,-1.1%,-1.9%,-34.9%,n/a,"$9,056,899"
Comdex,$0.222394,0.1%,2.6%,-14.8%,n/a,"$9,049,782"
STAKE,$4.89,-3.3%,-3.0%,-0.9%,n/a,"$9,041,653"
Dora Factory,$2.49,-0.1%,0.2%,-11.1%,n/a,"$8,978,881"
Aladdin DAO,$0.067578219020,-0.2%,-0.5%,-7.6%,n/a,"$8,908,122"
SpiceUSD,$0.962060,-0.4%,7.3%,3.3%,n/a,"$8,854,920"
ProximaX,$0.001348490764,-1.4%,6.1%,-0.9%,n/a,"$8,813,571"
Cap,$87.81,0.6%,3.3%,-35.6%,n/a,"$8,773,135"
Permission Coin,$0.000541729319,-0.3%,0.5%,-2.9%,n/a,"$8,759,957"
ParaSwap,$0.021259168902,0.0%,-0.3%,-7.6%,n/a,"$8,728,831"
Santiment Network,$0.134748,0.2%,-17.8%,-20.9%,n/a,"$8,631,872"
Ref Finance,$0.464567,-0.1%,0.9%,-20.3%,n/a,"$8,617,253"
Monavale,$824.17,2.0%,6.3%,-10.2%,n/a,"$8,612,827"
Quadrant Protocol,$0.015841675635,0.3%,2.1%,-2.5%,n/a,"$8,602,669"
Cola,$0.128217,0.7%,-0.8%,-24.4%,n/a,"$8,579,892"
Oath,$0.087575080219,-0.0%,-1.0%,-9.2%,n/a,"$8,494,267"
Guild of Guardians,$0.175856,0.1%,2.8%,-5.0%,n/a,"$8,484,021"
Steam Exchange,$0.000084166617,-1.1%,-1.4%,0.6%,n/a,"$8,462,568"
Crypto Unicorns Rainbow,$0.112542,-0.3%,1.3%,-14.5%,n/a,"$8,449,419"
DFX Finance,$0.482676,1.0%,1.5%,-5.3%,n/a,"$8,441,407"
Waltonchain,$0.288852,-0.5%,-0.9%,-2.7%,n/a,"$8,432,818"
